dataset,polluter,level,model,accuracy,epochs,train_n,test_n,dsc_score,grade
CIFAR10,blur,0.3,ResNet18,0.5774,10,,,77.75,B
CIFAR10,blur,0.3,CNNSimple,0.3034,10,,,77.75,B
CIFAR10,blur,0.7,ResNet18,0.2531,10,,,73.32,C
CIFAR10,blur,0.7,CNNSimple,0.2503,10,,,73.32,C
CIFAR10,class_balance,0.3,ResNet18,0.7085,10,,,90.79,A
CIFAR10,class_balance,0.3,CNNSimple,0.3001,10,,,90.79,A
CIFAR10,class_balance,0.7,ResNet18,0.7328,10,,,88.42,B
CIFAR10,class_balance,0.7,CNNSimple,0.2333,10,,,88.42,B
CIFAR10,completeness_image,0.3,ResNet18,0.75,10,,,87.84,B
CIFAR10,completeness_image,0.3,CNNSimple,0.3044,10,,,87.84,B
CIFAR10,completeness_image,0.7,ResNet18,0.7824,10,,,84.15,B
CIFAR10,completeness_image,0.7,CNNSimple,0.3015,10,,,84.15,B
CIFAR10,label_swap,0.3,ResNet18,0.5525,10,,,83.86,B
CIFAR10,label_swap,0.3,CNNSimple,0.2963,10,,,83.86,B
CIFAR10,label_swap,0.7,ResNet18,0.2938,10,,,78.86,B
CIFAR10,label_swap,0.7,CNNSimple,0.1989,10,,,78.86,B
CIFAR10,noise_injection,0.3,ResNet18,0.7606,10,,,86.16,B
CIFAR10,noise_injection,0.3,CNNSimple,0.3062,10,,,86.16,B
CIFAR10,noise_injection,0.7,ResNet18,0.6075,10,,,82.91,B
CIFAR10,noise_injection,0.7,CNNSimple,0.2351,10,,,82.91,B
FashionMNIST,blur,0.3,ResNet18,0.5394,10,,,87.17,B
FashionMNIST,blur,0.3,CNNSimple,0.4301,10,,,87.17,B
FashionMNIST,blur,0.7,ResNet18,0.2145,10,,,84.2,B
FashionMNIST,blur,0.7,CNNSimple,0.3186,10,,,84.2,B
FashionMNIST,class_balance,0.3,ResNet18,0.8743,10,,,85.89,B
FashionMNIST,class_balance,0.3,CNNSimple,0.5627,10,,,85.89,B
FashionMNIST,class_balance,0.7,ResNet18,0.8353,10,,,84.06,B
FashionMNIST,class_balance,0.7,CNNSimple,0.458,10,,,84.06,B
FashionMNIST,completeness_image,0.3,ResNet18,0.896,10,,,84.22,B
FashionMNIST,completeness_image,0.3,CNNSimple,0.609,10,,,84.22,B
FashionMNIST,completeness_image,0.7,ResNet18,0.8785,10,,,81.76,B
FashionMNIST,completeness_image,0.7,CNNSimple,0.5493,10,,,81.76,B
FashionMNIST,label_swap,0.3,ResNet18,0.5689,10,,,77.79,B
FashionMNIST,label_swap,0.3,CNNSimple,0.5696,10,,,77.79,B
FashionMNIST,label_swap,0.7,ResNet18,0.3224,10,,,71.75,C
FashionMNIST,label_swap,0.7,CNNSimple,0.415,10,,,71.75,C
FashionMNIST,noise_injection,0.3,ResNet18,0.8121,10,,,87.9,B
FashionMNIST,noise_injection,0.3,CNNSimple,0.6298,10,,,87.9,B
FashionMNIST,noise_injection,0.7,ResNet18,0.8478,10,,,84.49,B
FashionMNIST,noise_injection,0.7,CNNSimple,0.3686,10,,,84.49,B
CIFAR10,none,0.0,ResNet18,0.7952,10,,,91.35,A
CIFAR10,none,0.0,CNNSimple,0.3063,10,,,91.35,A
CIFAR10,blur,0.1,ResNet18,0.7727,10,,,89.79,B
CIFAR10,blur,0.1,CNNSimple,0.3095,10,,,89.79,B
CIFAR10,blur,0.5,ResNet18,0.3832,10,,,74.44,C
CIFAR10,blur,0.5,CNNSimple,0.2864,10,,,74.44,C
CIFAR10,blur,0.9,ResNet18,0.1648,10,,,72.53,C
CIFAR10,blur,0.9,CNNSimple,0.2811,10,,,72.53,C
CIFAR10,class_balance,0.1,ResNet18,0.7656,10,,,91.17,A
CIFAR10,class_balance,0.1,CNNSimple,0.3543,10,,,91.17,A
CIFAR10,class_balance,0.5,ResNet18,0.7467,10,,,89.9,B
CIFAR10,class_balance,0.5,CNNSimple,0.2736,10,,,89.9,B
CIFAR10,class_balance,0.9,ResNet18,0.6539,10,,,84.63,B
CIFAR10,class_balance,0.9,CNNSimple,0.1001,10,,,84.63,B
CIFAR10,completeness_image,0.1,ResNet18,0.7731,10,,,90.03,A
CIFAR10,completeness_image,0.1,CNNSimple,0.3326,10,,,90.03,A
CIFAR10,completeness_image,0.5,ResNet18,0.7404,10,,,85.98,B
CIFAR10,completeness_image,0.5,CNNSimple,0.3091,10,,,85.98,B
