dataset,polluter,level,method,model,score,dsc_score,grade
UTKFace,none,0.0,probe,ridge,0.1522,83.42,B
UTKFace,none,0.0,probe,random_forest,0.5409,83.42,B
UTKFace,none,0.0,probe,mlp,0.4324,83.42,B
UTKFace,none,0.0,probe,knn,0.4485,83.42,B
UTKFace,completeness_image,0.1,probe,ridge,0.1667,83.24,B
UTKFace,completeness_image,0.1,probe,random_forest,0.5352,83.24,B
UTKFace,completeness_image,0.1,probe,mlp,0.437,83.24,B
UTKFace,completeness_image,0.1,probe,knn,0.4466,83.24,B
UTKFace,noise_injection,0.1,probe,ridge,0.0433,86.28,B
UTKFace,noise_injection,0.1,probe,random_forest,0.4534,86.28,B
UTKFace,noise_injection,0.1,probe,mlp,0.3,86.28,B
UTKFace,noise_injection,0.1,probe,knn,0.4015,86.28,B
UTKFace,blur,0.1,probe,ridge,0.1648,82.97,B
UTKFace,blur,0.1,probe,random_forest,0.5321,82.97,B
UTKFace,blur,0.1,probe,mlp,0.419,82.97,B
UTKFace,blur,0.1,probe,knn,0.4569,82.97,B
UTKFace,target_distribution_skew,0.1,probe,ridge,0.146,83.32,B
UTKFace,target_distribution_skew,0.1,probe,random_forest,0.538,83.32,B
UTKFace,target_distribution_skew,0.1,probe,mlp,0.4278,83.32,B
UTKFace,target_distribution_skew,0.1,probe,knn,0.4385,83.32,B
UTKFace,target_noise,0.1,probe,ridge,0.1111,83.29,B
UTKFace,target_noise,0.1,probe,random_forest,0.5399,83.29,B
UTKFace,target_noise,0.1,probe,mlp,0.4252,83.29,B
UTKFace,target_noise,0.1,probe,knn,0.4388,83.29,B
UTKFace,completeness_image,0.3,probe,ridge,0.2706,82.21,B
UTKFace,completeness_image,0.3,probe,random_forest,0.5244,82.21,B
UTKFace,completeness_image,0.3,probe,mlp,0.4659,82.21,B
UTKFace,completeness_image,0.3,probe,knn,0.4352,82.21,B
UTKFace,noise_injection,0.3,probe,ridge,0.0,84.71,B
UTKFace,noise_injection,0.3,probe,random_forest,0.4791,84.71,B
UTKFace,noise_injection,0.3,probe,mlp,0.0,84.71,B
UTKFace,noise_injection,0.3,probe,knn,0.1114,84.71,B
UTKFace,blur,0.3,probe,ridge,0.0,82.05,B
UTKFace,blur,0.3,probe,random_forest,0.5196,82.05,B
UTKFace,blur,0.3,probe,mlp,0.3414,82.05,B
UTKFace,blur,0.3,probe,knn,0.4423,82.05,B
UTKFace,target_distribution_skew,0.3,probe,ridge,0.1223,82.71,B
UTKFace,target_distribution_skew,0.3,probe,random_forest,0.5212,82.71,B
UTKFace,target_distribution_skew,0.3,probe,mlp,0.4344,82.71,B
UTKFace,target_distribution_skew,0.3,probe,knn,0.4333,82.71,B
UTKFace,target_noise,0.3,probe,ridge,0.0,81.92,B
UTKFace,target_noise,0.3,probe,random_forest,0.5346,81.92,B
UTKFace,target_noise,0.3,probe,mlp,0.2388,81.92,B
UTKFace,target_noise,0.3,probe,knn,0.4013,81.92,B
UTKFace,completeness_image,0.5,probe,ridge,0.2472,82.11,B
UTKFace,completeness_image,0.5,probe,random_forest,0.5042,82.11,B
UTKFace,completeness_image,0.5,probe,mlp,0.431,82.11,B
UTKFace,completeness_image,0.5,probe,knn,0.4158,82.11,B
UTKFace,noise_injection,0.5,probe,ridge,0.0,83.0,B
UTKFace,noise_injection,0.5,probe,random_forest,0.4397,83.0,B
UTKFace,noise_injection,0.5,probe,mlp,0.0,83.0,B
UTKFace,noise_injection,0.5,probe,knn,0.2273,83.0,B
UTKFace,blur,0.5,probe,ridge,0.0,81.69,B
UTKFace,blur,0.5,probe,random_forest,0.4279,81.69,B
UTKFace,blur,0.5,probe,mlp,0.1464,81.69,B
UTKFace,blur,0.5,probe,knn,0.4143,81.69,B
UTKFace,target_distribution_skew,0.5,probe,ridge,0.0631,82.28,B
UTKFace,target_distribution_skew,0.5,probe,random_forest,0.5075,82.28,B
UTKFace,target_distribution_skew,0.5,probe,mlp,0.4066,82.28,B
UTKFace,target_distribution_skew,0.5,probe,knn,0.4069,82.28,B
UTKFace,target_noise,0.5,probe,ridge,0.0,80.16,B
UTKFace,target_noise,0.5,probe,random_forest,0.5093,80.16,B
