dataset,polluter,level,model,r2,r2_clipped,dsc_score,grade
CaliforniaHousing,completeness,0.1,LinearRegression,0.4009,0.4009,83.83,B
CaliforniaHousing,completeness,0.1,RandomForestReg,0.7804,0.7804,83.83,B
CaliforniaHousing,completeness,0.1,XGBoostReg,0.8237,0.8237,83.83,B
CaliforniaHousing,completeness,0.1,MLPReg,0.7231,0.7231,83.83,B
CaliforniaHousing,completeness,0.25,LinearRegression,0.2573,0.2573,78.99,B
CaliforniaHousing,completeness,0.25,RandomForestReg,0.7542,0.7542,78.99,B
CaliforniaHousing,completeness,0.25,XGBoostReg,0.7975,0.7975,78.99,B
CaliforniaHousing,completeness,0.25,MLPReg,0.6539,0.6539,78.99,B
CaliforniaHousing,completeness,0.5,LinearRegression,0.1097,0.1097,71.43,C
CaliforniaHousing,completeness,0.5,RandomForestReg,0.6843,0.6843,71.43,C
CaliforniaHousing,completeness,0.5,XGBoostReg,0.7365,0.7365,71.43,C
CaliforniaHousing,completeness,0.5,MLPReg,0.5497,0.5497,71.43,C
CaliforniaHousing,completeness,0.75,LinearRegression,0.0751,0.0751,63.38,C
CaliforniaHousing,completeness,0.75,RandomForestReg,0.6182,0.6182,63.38,C
CaliforniaHousing,completeness,0.75,XGBoostReg,0.5258,0.5258,63.38,C
CaliforniaHousing,completeness,0.75,MLPReg,0.476,0.476,63.38,C
CaliforniaHousing,completeness,0.9,LinearRegression,-0.0185,0.0,55.53,D
CaliforniaHousing,completeness,0.9,RandomForestReg,0.4879,0.4879,55.53,D
CaliforniaHousing,completeness,0.9,XGBoostReg,0.1281,0.1281,55.53,D
CaliforniaHousing,completeness,0.9,MLPReg,0.1531,0.1531,55.53,D
CaliforniaHousing,completeness,0.95,LinearRegression,-0.0388,0.0,51.14,D
CaliforniaHousing,completeness,0.95,RandomForestReg,0.3624,0.3624,51.14,D
CaliforniaHousing,completeness,0.95,XGBoostReg,-0.9383,0.0,51.14,D
CaliforniaHousing,completeness,0.95,MLPReg,0.3516,0.3516,51.14,D
CaliforniaHousing,feature_accuracy,0.1,LinearRegression,0.5277,0.5277,84.02,B
CaliforniaHousing,feature_accuracy,0.1,RandomForestReg,0.6622,0.6622,84.02,B
CaliforniaHousing,feature_accuracy,0.1,XGBoostReg,0.6592,0.6592,84.02,B
CaliforniaHousing,feature_accuracy,0.1,MLPReg,0.664,0.664,84.02,B
CaliforniaHousing,feature_accuracy,0.25,LinearRegression,0.4891,0.4891,81.7,B
