dataset,polluter,level,method,model,score,task,dsc_score
ag_news,completeness_text,0.1,probe,logreg,0.8502,classification,89.43333333333334
ag_news,completeness_text,0.1,probe,random_forest,0.8184,classification,89.43333333333334
ag_news,completeness_text,0.1,probe,mlp,0.8364,classification,89.43333333333334
ag_news,completeness_text,0.1,probe,knn,0.8112,classification,89.43333333333334
ag_news,completeness_text,0.25,probe,logreg,0.8006,classification,87.14333333333333
ag_news,completeness_text,0.25,probe,random_forest,0.8149,classification,87.14333333333333
ag_news,completeness_text,0.25,probe,mlp,0.8214,classification,87.14333333333333
ag_news,completeness_text,0.25,probe,knn,0.8546,classification,87.14333333333333
ag_news,completeness_text,0.5,probe,logreg,0.6758,classification,82.74000000000001
ag_news,completeness_text,0.5,probe,random_forest,0.7829,classification,82.74000000000001
ag_news,completeness_text,0.5,probe,mlp,0.7355,classification,82.74000000000001
ag_news,completeness_text,0.5,probe,knn,0.8184,classification,82.74000000000001
ag_news,completeness_text,0.75,probe,logreg,0.2845,classification,72.12
ag_news,completeness_text,0.75,probe,random_forest,0.6405,classification,72.12
ag_news,completeness_text,0.75,probe,mlp,0.6329,classification,72.12
ag_news,completeness_text,0.75,probe,knn,0.7391,classification,72.12
ag_news,completeness_text,0.9,probe,logreg,0.3905,classification,62.19
ag_news,completeness_text,0.9,probe,random_forest,0.4591,classification,62.19
ag_news,completeness_text,0.9,probe,mlp,0.7279,classification,62.19
ag_news,completeness_text,0.9,probe,knn,0.54,classification,62.19
ag_news,noise_injection_text,0.1,probe,logreg,0.8008,classification,88.77
ag_news,noise_injection_text,0.1,probe,random_forest,0.7561,classification,88.77
ag_news,noise_injection_text,0.1,probe,mlp,0.7934,classification,88.77
ag_news,noise_injection_text,0.1,probe,knn,0.7891,classification,88.77
ag_news,noise_injection_text,0.25,probe,logreg,0.5743,classification,82.46666666666665
ag_news,noise_injection_text,0.25,probe,random_forest,0.6524,classification,82.46666666666665
ag_news,noise_injection_text,0.25,probe,mlp,0.6423,classification,82.46666666666665
ag_news,noise_injection_text,0.25,probe,knn,0.7602,classification,82.46666666666665
ag_news,noise_injection_text,0.5,probe,logreg,0.3919,classification,78.64666666666666
ag_news,noise_injection_text,0.5,probe,random_forest,0.4211,classification,78.64666666666666
ag_news,noise_injection_text,0.5,probe,mlp,0.4882,classification,78.64666666666666
ag_news,noise_injection_text,0.5,probe,knn,0.254,classification,78.64666666666666
ag_news,noise_injection_text,0.75,probe,logreg,0.2807,classification,78.34666666666668
ag_news,noise_injection_text,0.75,probe,random_forest,0.2379,classification,78.34666666666668
ag_news,noise_injection_text,0.75,probe,mlp,0.345,classification,78.34666666666668
ag_news,noise_injection_text,0.75,probe,knn,0.2708,classification,78.34666666666668
ag_news,noise_injection_text,0.9,probe,logreg,0.1409,classification,78.47666666666667
ag_news,noise_injection_text,0.9,probe,random_forest,0.1875,classification,78.47666666666667
ag_news,noise_injection_text,0.9,probe,mlp,0.3315,classification,78.47666666666667
ag_news,noise_injection_text,0.9,probe,knn,0.242,classification,78.47666666666667
ag_news,word_shuffle,0.1,probe,logreg,0.8438,classification,90.92333333333333
ag_news,word_shuffle,0.1,probe,random_forest,0.8243,classification,90.92333333333333
