dataset,polluter,level,method,model,score,task,dsc_score
yelp_full,completeness_text,0.1,probe,ridge,0.0,regression,78.53333333333335
yelp_full,completeness_text,0.1,probe,random_forest,0.4843,regression,78.53333333333335
yelp_full,completeness_text,0.1,probe,mlp,0.1887,regression,78.53333333333335
yelp_full,completeness_text,0.1,probe,knn,0.4842,regression,78.53333333333335
yelp_full,completeness_text,0.25,probe,ridge,0.0,regression,76.24666666666667
yelp_full,completeness_text,0.25,probe,random_forest,0.3453,regression,76.24666666666667
yelp_full,completeness_text,0.25,probe,mlp,0.0582,regression,76.24666666666667
yelp_full,completeness_text,0.25,probe,knn,0.4369,regression,76.24666666666667
yelp_full,completeness_text,0.5,probe,ridge,0.0,regression,70.55333333333334
yelp_full,completeness_text,0.5,probe,random_forest,0.1381,regression,70.55333333333334
yelp_full,completeness_text,0.5,probe,mlp,0.0,regression,70.55333333333334
yelp_full,completeness_text,0.5,probe,knn,0.2254,regression,70.55333333333334
yelp_full,completeness_text,0.75,probe,ridge,0.0,regression,62.39333333333334
yelp_full,completeness_text,0.75,probe,random_forest,0.0178,regression,62.39333333333334
yelp_full,completeness_text,0.75,probe,mlp,0.0,regression,62.39333333333334
yelp_full,completeness_text,0.75,probe,knn,0.0,regression,62.39333333333334
yelp_full,completeness_text,0.9,probe,ridge,0.0,regression,57.07333333333333
yelp_full,completeness_text,0.9,probe,random_forest,0.0157,regression,57.07333333333333
yelp_full,completeness_text,0.9,probe,mlp,0.0,regression,57.07333333333333
yelp_full,completeness_text,0.9,probe,knn,0.0,regression,57.07333333333333
yelp_full,noise_injection_text,0.1,probe,ridge,0.0,regression,78.56333333333333
yelp_full,noise_injection_text,0.1,probe,random_forest,0.256,regression,78.56333333333333
yelp_full,noise_injection_text,0.1,probe,mlp,0.0,regression,78.56333333333333
yelp_full,noise_injection_text,0.1,probe,knn,0.3043,regression,78.56333333333333
yelp_full,noise_injection_text,0.25,probe,ridge,0.0,regression,77.02666666666666
yelp_full,noise_injection_text,0.25,probe,random_forest,0.0328,regression,77.02666666666666
yelp_full,noise_injection_text,0.25,probe,mlp,0.0,regression,77.02666666666666
yelp_full,noise_injection_text,0.25,probe,knn,0.0,regression,77.02666666666666
yelp_full,noise_injection_text,0.5,probe,ridge,0.0,regression,76.81666666666666
yelp_full,noise_injection_text,0.5,probe,random_forest,0.0,regression,76.81666666666666
yelp_full,noise_injection_text,0.5,probe,mlp,0.0,regression,76.81666666666666
yelp_full,noise_injection_text,0.5,probe,knn,0.0051,regression,76.81666666666666
yelp_full,noise_injection_text,0.75,probe,ridge,0.0,regression,76.10333333333334
yelp_full,noise_injection_text,0.75,probe,random_forest,0.0,regression,76.10333333333334
yelp_full,noise_injection_text,0.75,probe,mlp,0.0,regression,76.10333333333334
yelp_full,noise_injection_text,0.75,probe,knn,0.0,regression,76.10333333333334
yelp_full,noise_injection_text,0.9,probe,ridge,0.0,regression,75.82333333333334
yelp_full,noise_injection_text,0.9,probe,random_forest,0.0,regression,75.82333333333334
yelp_full,noise_injection_text,0.9,probe,mlp,0.0,regression,75.82333333333334
yelp_full,noise_injection_text,0.9,probe,knn,0.0,regression,75.82333333333334
yelp_full,word_shuffle,0.1,probe,ridge,0.0,regression,79.8
yelp_full,word_shuffle,0.1,probe,random_forest,0.52,regression,79.8
yelp_full,word_shuffle,0.1,probe,mlp,0.3081,regression,79.8
yelp_full,word_shuffle,0.1,probe,knn,0.4043,regression,79.8
yelp_full,word_shuffle,0.25,probe,ridge,0.0,regression,79.58
yelp_full,word_shuffle,0.25,probe,random_forest,0.3815,regression,79.58
yelp_full,word_shuffle,0.25,probe,mlp,0.0,regression,79.58
yelp_full,word_shuffle,0.25,probe,knn,0.1825,regression,79.58
yelp_full,word_shuffle,0.5,probe,ridge,0.0,regression,79.72
yelp_full,word_shuffle,0.5,probe,random_forest,0.2798,regression,79.72
yelp_full,word_shuffle,0.5,probe,mlp,0.0,regression,79.72
yelp_full,word_shuffle,0.5,probe,knn,0.1467,regression,79.72
yelp_full,word_shuffle,0.75,probe,ridge,0.0,regression,79.29333333333334
yelp_full,word_shuffle,0.75,probe,random_forest,0.2612,regression,79.29333333333334
yelp_full,word_shuffle,0.75,probe,mlp,0.0,regression,79.29333333333334
yelp_full,word_shuffle,0.75,probe,knn,0.0795,regression,79.29333333333334
yelp_full,word_shuffle,0.9,probe,ridge,0.0,regression,79.31
yelp_full,word_shuffle,0.9,probe,random_forest,0.2935,regression,79.31
yelp_full,word_shuffle,0.9,probe,mlp,0.0,regression,79.31
yelp_full,word_shuffle,0.9,probe,knn,0.125,regression,79.31
yelp_full,target_distribution_skew,0.1,probe,ridge,0.0,regression,79.19666666666667
yelp_full,target_distribution_skew,0.1,probe,random_forest,0.5767,regression,79.19666666666667
yelp_full,target_distribution_skew,0.1,probe,mlp,0.4201,regression,79.19666666666667
yelp_full,target_distribution_skew,0.1,probe,knn,0.5176,regression,79.19666666666667
