dataset,polluter,level,score,grade,completeness,uniqueness,validity,consistency,outlier_ratio,class_balance,feature_correlation,label_consistency,feature_informativeness
TelcoCustomerChurn,none,0.0,80.75,B,1.0,1.0,1.0,1.0,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,completeness,0.1,78.46,B,0.9051,1.0,1.0,1.0,1.0,0.5307,1.0,0.2527,1.0
TelcoCustomerChurn,uniqueness,0.1,75.08,B,1.0,0.6666,1.0,1.0,1.0,0.5308,1.0,0.2387,1.0
TelcoCustomerChurn,feature_accuracy,0.1,79.78,B,1.0,1.0,1.0,1.0,0.9999,0.5307,1.0,0.2687,0.9096
TelcoCustomerChurn,consistent_repr,0.1,79.75,B,1.0,1.0,1.0,0.9001,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,class_balance,0.1,85.57,B,1.0,1.0,1.0,1.0,1.0,0.9003,1.0,0.3283,1.0
TelcoCustomerChurn,completeness,0.25,74.55,C,0.7626,1.0,1.0,1.0,1.0,0.5307,1.0,0.1995,1.0
TelcoCustomerChurn,uniqueness,0.25,73.16,C,1.0,0.5,1.0,1.0,1.0,0.5307,1.0,0.2677,1.0
TelcoCustomerChurn,feature_accuracy,0.25,74.78,C,1.0,1.0,1.0,1.0,0.9992,0.5307,1.0,0.1884,0.5707
TelcoCustomerChurn,consistent_repr,0.25,78.25,B,1.0,1.0,1.0,0.7501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,class_balance,0.25,84.23,B,1.0,1.0,1.0,1.0,1.0,0.7505,1.0,0.3362,1.0
TelcoCustomerChurn,completeness,0.5,66.91,C,0.525,1.0,1.0,1.0,1.0,0.5307,1.0,0.1889,0.7326
TelcoCustomerChurn,uniqueness,0.5,71.37,C,1.0,0.3333,1.0,1.0,1.0,0.5307,1.0,0.3031,1.0
TelcoCustomerChurn,feature_accuracy,0.5,70.4,C,1.0,1.0,1.0,1.0,0.9945,0.5307,1.0,0.1536,0.2045
TelcoCustomerChurn,consistent_repr,0.5,75.75,B,1.0,1.0,1.0,0.5,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,class_balance,0.5,80.5,B,1.0,1.0,1.0,1.0,1.0,0.5003,1.0,0.275,1.0
TelcoCustomerChurn,completeness,0.75,57.22,D,0.2876,0.9798,1.0,1.0,1.0,0.5307,1.0,0.1425,0.3617
TelcoCustomerChurn,uniqueness,0.75,69.53,C,1.0,0.25,1.0,1.0,1.0,0.5307,1.0,0.2738,1.0
TelcoCustomerChurn,feature_accuracy,0.75,68.55,C,1.0,1.0,1.0,1.0,0.9718,0.5307,1.0,0.0921,0.1543
TelcoCustomerChurn,consistent_repr,0.75,73.25,C,1.0,1.0,1.0,0.2501,1.0,0.5307,1.0,0.2721,1.0
