dataset,polluter,level,score,grade,completeness_image,uniqueness,validity,consistency,outlier_ratio,target_distribution_quality,sample_quality_image,signal_integrity,feature_correlation,target_smoothness,feature_informativeness_reg
UTKFace,none,0.0,83.42,B,0.9947,1.0,1.0,1.0,0.999,0.8109,0.5857,0.9802,1.0,0.4817,1.0
UTKFace,completeness_image,0.1,83.24,B,0.965,1.0,1.0,1.0,0.999,0.8109,0.6266,0.9807,1.0,0.4748,1.0
UTKFace,noise_injection,0.1,86.28,B,0.9976,1.0,1.0,1.0,0.999,0.8109,0.9246,0.8657,1.0,0.4817,1.0
UTKFace,blur,0.1,82.97,B,0.9948,1.0,1.0,1.0,0.999,0.8109,0.5429,0.9844,1.0,0.4799,1.0
UTKFace,target_distribution_skew,0.1,83.32,B,0.9947,1.0,1.0,1.0,0.999,0.8003,0.5835,0.9803,1.0,0.4831,1.0
UTKFace,target_noise,0.1,83.29,B,0.9947,1.0,1.0,1.0,0.999,0.8397,0.5857,0.9802,1.0,0.4611,1.0
UTKFace,completeness_image,0.3,82.21,B,0.9056,1.0,1.0,1.0,0.998,0.8109,0.7095,0.9818,1.0,0.4261,1.0
UTKFace,noise_injection,0.3,84.71,B,0.9971,1.0,1.0,1.0,0.999,0.8109,0.9532,0.6133,1.0,0.4526,1.0
UTKFace,blur,0.3,82.05,B,0.9954,1.0,1.0,1.0,0.999,0.8109,0.4634,0.988,1.0,0.4719,1.0
UTKFace,target_distribution_skew,0.3,82.71,B,0.9949,1.0,1.0,1.0,0.9989,0.7733,0.5832,0.9804,1.0,0.4662,1.0
UTKFace,target_noise,0.3,81.92,B,0.9947,1.0,1.0,1.0,0.999,0.8482,0.5857,0.9802,1.0,0.3883,1.0
UTKFace,completeness_image,0.5,82.11,B,0.8463,1.0,1.0,1.0,1.0,0.8109,0.7887,0.9828,1.0,0.4253,1.0
UTKFace,noise_injection,0.5,83.0,B,0.996,1.0,1.0,1.0,0.998,0.8109,0.9582,0.3719,1.0,0.4259,1.0
UTKFace,blur,0.5,81.69,B,0.9959,1.0,1.0,1.0,0.999,0.8109,0.4462,0.9882,1.0,0.4621,1.0
UTKFace,target_distribution_skew,0.5,82.28,B,0.9948,1.0,1.0,1.0,0.9989,0.7391,0.5833,0.9806,1.0,0.4618,1.0
UTKFace,target_noise,0.5,80.16,B,0.9947,1.0,1.0,1.0,0.999,0.8039,0.5857,0.9802,1.0,0.3224,1.0
UTKFace,completeness_image,0.7,81.55,B,0.7868,1.0,1.0,1.0,0.99,0.8109,0.8669,0.9839,1.0,0.4049,1.0
UTKFace,noise_injection,0.7,81.16,B,0.9948,1.0,1.0,1.0,0.998,0.8109,0.9645,0.1508,1.0,0.3868,1.0
UTKFace,blur,0.7,80.62,B,0.9965,1.0,1.0,1.0,0.999,0.8109,0.4358,0.9884,1.0,0.4132,1.0
UTKFace,target_distribution_skew,0.7,83.24,B,0.9946,1.0,1.0,1.0,0.9988,0.7729,0.5851,0.9807,1.0,0.4924,1.0
UTKFace,target_noise,0.7,79.06,B,0.9947,1.0,1.0,1.0,0.999,0.7823,0.5857,0.9802,1.0,0.2782,1.0
UTKFace,completeness_image,0.9,81.34,B,0.7276,1.0,1.0,1.0,0.988,0.8109,0.9477,0.985,1.0,0.3988,1.0
UTKFace,noise_injection,0.9,80.36,B,0.9935,1.0,1.0,1.0,0.998,0.8109,0.9713,0.0353,1.0,0.3735,1.0
UTKFace,blur,0.9,80.08,B,0.997,1.0,1.0,1.0,0.999,0.8109,0.4267,0.9886,1.0,0.3908,1.0
UTKFace,target_distribution_skew,0.9,82.63,B,0.9945,1.0,1.0,1.0,0.9987,0.7076,0.5839,0.9809,1.0,0.4952,1.0
UTKFace,target_noise,0.9,78.41,B,0.9947,1.0,1.0,1.0,0.999,0.7724,0.5857,0.9802,1.0,0.2509,1.0
SCUT_FBP5500,none,0.0,86.62,B,0.9968,1.0,1.0,1.0,0.994,0.8742,0.9681,0.9662,1.0,0.4223,1.0
SCUT_FBP5500,completeness_image,0.1,85.94,B,0.9671,1.0,1.0,1.0,0.994,0.8742,0.9713,0.9673,1.0,0.4086,1.0
SCUT_FBP5500,noise_injection,0.1,86.34,B,0.9984,1.0,1.0,1.0,0.994,0.8742,0.9996,0.8211,1.0,0.4276,1.0
SCUT_FBP5500,blur,0.1,85.67,B,0.997,1.0,1.0,1.0,0.994,0.8742,0.871,0.9794,1.0,0.4196,1.0
SCUT_FBP5500,target_distribution_skew,0.1,86.58,B,0.9969,1.0,1.0,1.0,0.9938,0.8678,0.9685,0.9662,1.0,0.4234,1.0
SCUT_FBP5500,target_noise,0.1,85.11,B,0.9968,1.0,1.0,1.0,0.994,0.8399,0.9681,0.9662,1.0,0.3641,1.0
SCUT_FBP5500,completeness_image,0.3,84.49,B,0.9075,1.0,1.0,1.0,0.997,0.8742,0.979,0.9694,1.0,0.3759,1.0
SCUT_FBP5500,noise_injection,0.3,84.41,B,0.9966,1.0,1.0,1.0,0.993,0.8742,0.9996,0.5092,1.0,0.4105,1.0
SCUT_FBP5500,blur,0.3,82.49,B,0.9974,1.0,1.0,1.0,0.994,0.8742,0.5281,0.9911,1.0,0.4292,1.0
SCUT_FBP5500,target_distribution_skew,0.3,86.53,B,0.9969,1.0,1.0,1.0,0.9946,0.8556,0.9691,0.9665,1.0,0.4262,1.0
SCUT_FBP5500,target_noise,0.3,82.39,B,0.9968,1.0,1.0,1.0,0.994,0.8272,0.9681,0.9662,1.0,0.2343,1.0
