dataset,polluter,level,model,accuracy,f1_macro,auc_roc,score,grade,completeness,uniqueness,validity,consistency,outlier_ratio,class_balance,feature_correlation,label_consistency,feature_informativeness
SouthGermanCredit,class_balance,0.1,LogisticRegression,0.74,0.6961,0.7813,75.09,B,1.0,1.0,1.0,1.0,0.9313,0.9,1.0,0.1111,0.4211
SouthGermanCredit,class_balance,0.1,MLP,0.74,0.6988,0.7398,75.09,B,1.0,1.0,1.0,1.0,0.9313,0.9,1.0,0.1111,0.4211
SouthGermanCredit,class_balance,0.1,RandomForest,0.735,0.6992,0.7781,75.09,B,1.0,1.0,1.0,1.0,0.9313,0.9,1.0,0.1111,0.4211
SouthGermanCredit,class_balance,0.1,SVC,0.725,0.6925,0.7551,75.09,B,1.0,1.0,1.0,1.0,0.9313,0.9,1.0,0.1111,0.4211
SouthGermanCredit,class_balance,0.1,XGBoost,0.675,0.6339,0.7482,75.09,B,1.0,1.0,1.0,1.0,0.9313,0.9,1.0,0.1111,0.4211
SouthGermanCredit,class_balance,0.25,LogisticRegression,0.745,0.6919,0.7707,73.62,C,1.0,1.0,1.0,1.0,0.9368,0.75,1.0,0.1049,0.4337
SouthGermanCredit,class_balance,0.25,MLP,0.74,0.6934,0.7355,73.62,C,1.0,1.0,1.0,1.0,0.9368,0.75,1.0,0.1049,0.4337
SouthGermanCredit,class_balance,0.25,RandomForest,0.74,0.6702,0.7851,73.62,C,1.0,1.0,1.0,1.0,0.9368,0.75,1.0,0.1049,0.4337
SouthGermanCredit,class_balance,0.25,SVC,0.725,0.6925,0.7474,73.62,C,1.0,1.0,1.0,1.0,0.9368,0.75,1.0,0.1049,0.4337
SouthGermanCredit,class_balance,0.25,XGBoost,0.765,0.7132,0.7882,73.62,C,1.0,1.0,1.0,1.0,0.9368,0.75,1.0,0.1049,0.4337
SouthGermanCredit,class_balance,0.5,LogisticRegression,0.755,0.6568,0.7574,70.01,C,1.0,1.0,1.0,1.0,0.9535,0.5,1.0,0.0644,0.395
SouthGermanCredit,class_balance,0.5,MLP,0.74,0.633,0.7307,70.01,C,1.0,1.0,1.0,1.0,0.9535,0.5,1.0,0.0644,0.395
SouthGermanCredit,class_balance,0.5,RandomForest,0.745,0.5534,0.774,70.01,C,1.0,1.0,1.0,1.0,0.9535,0.5,1.0,0.0644,0.395
SouthGermanCredit,class_balance,0.5,SVC,0.715,0.6739,0.735,70.01,C,1.0,1.0,1.0,1.0,0.9535,0.5,1.0,0.0644,0.395
SouthGermanCredit,class_balance,0.5,XGBoost,0.785,0.6893,0.8023,70.01,C,1.0,1.0,1.0,1.0,0.9535,0.5,1.0,0.0644,0.395
SouthGermanCredit,class_balance,0.75,LogisticRegression,0.73,0.5614,0.7874,68.39,C,1.0,1.0,1.0,1.0,0.9576,0.25,1.0,0.061,0.4884
SouthGermanCredit,class_balance,0.75,MLP,0.755,0.5979,0.7565,68.39,C,1.0,1.0,1.0,1.0,0.9576,0.25,1.0,0.061,0.4884
SouthGermanCredit,class_balance,0.75,RandomForest,0.71,0.4465,0.7678,68.39,C,1.0,1.0,1.0,1.0,0.9576,0.25,1.0,0.061,0.4884
SouthGermanCredit,class_balance,0.75,SVC,0.725,0.6853,0.7357,68.39,C,1.0,1.0,1.0,1.0,0.9576,0.25,1.0,0.061,0.4884
SouthGermanCredit,class_balance,0.75,XGBoost,0.735,0.5462,0.7413,68.39,C,1.0,1.0,1.0,1.0,0.9576,0.25,1.0,0.061,0.4884
SouthGermanCredit,class_balance,0.9,LogisticRegression,0.73,0.5101,0.7729,66.26,C,1.0,1.0,1.0,1.0,0.9576,0.1,1.0,0.0044,0.5386
SouthGermanCredit,class_balance,0.9,MLP,0.72,0.4792,0.7132,66.26,C,1.0,1.0,1.0,1.0,0.9576,0.1,1.0,0.0044,0.5386
SouthGermanCredit,class_balance,0.9,RandomForest,0.7,0.4118,0.715,66.26,C,1.0,1.0,1.0,1.0,0.9576,0.1,1.0,0.0044,0.5386
SouthGermanCredit,class_balance,0.9,SVC,0.715,0.6406,0.7219,66.26,C,1.0,1.0,1.0,1.0,0.9576,0.1,1.0,0.0044,0.5386
SouthGermanCredit,class_balance,0.9,XGBoost,0.73,0.5101,0.7113,66.26,C,1.0,1.0,1.0,1.0,0.9576,0.1,1.0,0.0044,0.5386
