dataset,polluter,level,model,accuracy,epochs,train_n,test_n
Flowers102,none,0.0,ResNet18,0.1345,5,1020.0,2000.0
Flowers102,none,0.0,EfficientNetB0,0.0025,5,1020.0,2000.0
Flowers102,none,0.0,MobileNetV3small,0.003,5,1020.0,2000.0
Flowers102,none,0.0,ViTTiny,0.081,5,1020.0,2000.0
Flowers102,none,0.0,CNNSimple,0.0395,5,1020.0,2000.0
CIFAR10,blur,0.1,ResNet18,0.3803,3,,
CIFAR10,blur,0.1,CNNSimple,0.2499,3,,
CIFAR10,blur,0.5,ResNet18,0.3205,3,,
CIFAR10,blur,0.5,CNNSimple,0.2593,3,,
CIFAR10,blur,0.9,ResNet18,0.2859,3,,
CIFAR10,blur,0.9,CNNSimple,0.25,3,,
CIFAR10,class_balance,0.1,ResNet18,0.396,3,,
CIFAR10,class_balance,0.1,CNNSimple,0.2648,3,,
CIFAR10,class_balance,0.5,ResNet18,0.3215,3,,
CIFAR10,class_balance,0.5,CNNSimple,0.2264,3,,
CIFAR10,class_balance,0.9,ResNet18,0.1811,3,,
CIFAR10,class_balance,0.9,CNNSimple,0.1,3,,
CIFAR10,completeness_image,0.1,ResNet18,0.3296,3,,
CIFAR10,completeness_image,0.1,CNNSimple,0.2648,3,,
CIFAR10,completeness_image,0.5,ResNet18,0.3362,3,,
CIFAR10,completeness_image,0.5,CNNSimple,0.2409,3,,
CIFAR10,completeness_image,0.9,ResNet18,0.3503,3,,
CIFAR10,completeness_image,0.9,CNNSimple,0.2281,3,,
CIFAR10,label_swap,0.1,ResNet18,0.3432,3,,
CIFAR10,label_swap,0.1,CNNSimple,0.2366,3,,
CIFAR10,label_swap,0.5,ResNet18,0.282,3,,
CIFAR10,label_swap,0.5,CNNSimple,0.2275,3,,
CIFAR10,label_swap,0.9,ResNet18,0.1106,3,,
CIFAR10,label_swap,0.9,CNNSimple,0.1022,3,,
CIFAR10,noise_injection,0.1,ResNet18,0.3973,3,,
CIFAR10,noise_injection,0.1,CNNSimple,0.2443,3,,
CIFAR10,noise_injection,0.5,ResNet18,0.3263,3,,
CIFAR10,noise_injection,0.5,CNNSimple,0.2526,3,,
CIFAR10,noise_injection,0.9,ResNet18,0.3388,3,,
CIFAR10,noise_injection,0.9,CNNSimple,0.2323,3,,
CIFAR10,none,0.0,ResNet18,0.3834,3,,
CIFAR10,none,0.0,CNNSimple,0.2583,3,,
FashionMNIST,none,0.0,ResNet18,0.8141,3,,
FashionMNIST,none,0.0,CNNSimple,0.289,3,,
FashionMNIST,blur,0.1,ResNet18,0.7535,3,,
FashionMNIST,blur,0.1,CNNSimple,0.2726,3,,
FashionMNIST,blur,0.5,ResNet18,0.3025,3,,
FashionMNIST,blur,0.5,CNNSimple,0.1623,3,,
FashionMNIST,blur,0.9,ResNet18,0.1324,3,,
FashionMNIST,blur,0.9,CNNSimple,0.1923,3,,
FashionMNIST,class_balance,0.1,ResNet18,0.7938,3,,
FashionMNIST,class_balance,0.1,CNNSimple,0.3329,3,,
FashionMNIST,class_balance,0.5,ResNet18,0.5287,3,,
FashionMNIST,class_balance,0.5,CNNSimple,0.2157,3,,
FashionMNIST,class_balance,0.9,ResNet18,0.3598,3,,
FashionMNIST,class_balance,0.9,CNNSimple,0.1,3,,
FashionMNIST,completeness_image,0.1,ResNet18,0.5207,3,,
FashionMNIST,completeness_image,0.1,CNNSimple,0.236,3,,
FashionMNIST,completeness_image,0.5,ResNet18,0.7348,3,,
FashionMNIST,completeness_image,0.5,CNNSimple,0.1358,3,,
FashionMNIST,completeness_image,0.9,ResNet18,0.2997,3,,
FashionMNIST,completeness_image,0.9,CNNSimple,0.1201,3,,
FashionMNIST,label_swap,0.1,ResNet18,0.8065,3,,
FashionMNIST,label_swap,0.1,CNNSimple,0.2252,3,,
FashionMNIST,label_swap,0.5,ResNet18,0.6946,3,,
FashionMNIST,label_swap,0.5,CNNSimple,0.2532,3,,
FashionMNIST,label_swap,0.9,ResNet18,0.0875,3,,
FashionMNIST,label_swap,0.9,CNNSimple,0.1108,3,,
FashionMNIST,noise_injection,0.1,ResNet18,0.7911,3,,
FashionMNIST,noise_injection,0.1,CNNSimple,0.2579,3,,
FashionMNIST,noise_injection,0.5,ResNet18,0.1563,3,,
FashionMNIST,noise_injection,0.5,CNNSimple,0.2125,3,,
FashionMNIST,noise_injection,0.9,ResNet18,0.7915,3,,
FashionMNIST,noise_injection,0.9,CNNSimple,0.2458,3,,
