dataset,polluter,level,method,model,score
UTKFace,none,0.0,probe,ridge,0.1522
UTKFace,none,0.0,probe,random_forest,0.5409
UTKFace,none,0.0,probe,mlp,0.4324
UTKFace,none,0.0,probe,knn,0.4485
UTKFace,completeness_image,0.1,probe,ridge,0.1667
UTKFace,completeness_image,0.1,probe,random_forest,0.5352
UTKFace,completeness_image,0.1,probe,mlp,0.437
UTKFace,completeness_image,0.1,probe,knn,0.4466
UTKFace,noise_injection,0.1,probe,ridge,0.0433
UTKFace,noise_injection,0.1,probe,random_forest,0.4534
UTKFace,noise_injection,0.1,probe,mlp,0.3
UTKFace,noise_injection,0.1,probe,knn,0.4015
UTKFace,blur,0.1,probe,ridge,0.1648
UTKFace,blur,0.1,probe,random_forest,0.5321
UTKFace,blur,0.1,probe,mlp,0.419
UTKFace,blur,0.1,probe,knn,0.4569
UTKFace,target_distribution_skew,0.1,probe,ridge,0.146
UTKFace,target_distribution_skew,0.1,probe,random_forest,0.538
UTKFace,target_distribution_skew,0.1,probe,mlp,0.4278
UTKFace,target_distribution_skew,0.1,probe,knn,0.4385
UTKFace,target_noise,0.1,probe,ridge,0.1111
UTKFace,target_noise,0.1,probe,random_forest,0.5399
UTKFace,target_noise,0.1,probe,mlp,0.4252
UTKFace,target_noise,0.1,probe,knn,0.4388
UTKFace,completeness_image,0.3,probe,ridge,0.2706
UTKFace,completeness_image,0.3,probe,random_forest,0.5244
UTKFace,completeness_image,0.3,probe,mlp,0.4659
UTKFace,completeness_image,0.3,probe,knn,0.4352
UTKFace,noise_injection,0.3,probe,ridge,0.0
UTKFace,noise_injection,0.3,probe,random_forest,0.4791
UTKFace,noise_injection,0.3,probe,mlp,0.0
UTKFace,noise_injection,0.3,probe,knn,0.1114
UTKFace,blur,0.3,probe,ridge,0.0
UTKFace,blur,0.3,probe,random_forest,0.5196
UTKFace,blur,0.3,probe,mlp,0.3414
UTKFace,blur,0.3,probe,knn,0.4423
UTKFace,target_distribution_skew,0.3,probe,ridge,0.1223
UTKFace,target_distribution_skew,0.3,probe,random_forest,0.5212
UTKFace,target_distribution_skew,0.3,probe,mlp,0.4344
UTKFace,target_distribution_skew,0.3,probe,knn,0.4333
UTKFace,target_noise,0.3,probe,ridge,0.0
