dataset,polluter,level,score,grade,LogisticRegression_F1,MLP_F1,RandomForest_F1,SVC_F1,XGBoost_F1
SouthGermanCredit,class_balance,0.1,99.11,A,0.6961,0.6988,0.6992,0.6844,0.6339
SouthGermanCredit,class_balance,0.25,98.17,A,0.6919,0.6934,0.6702,0.6905,0.7132
SouthGermanCredit,class_balance,0.5,96.95,A,0.6568,0.633,0.5534,0.6147,0.6893
SouthGermanCredit,class_balance,0.75,95.73,A,0.5614,0.5979,0.4465,0.5184,0.5462
SouthGermanCredit,completeness,0.1,94.6,A,0.7116,0.6534,0.6894,0.6843,0.6829
SouthGermanCredit,completeness,0.25,91.54,A,0.683,0.6366,0.6891,0.671,0.745
SouthGermanCredit,completeness,0.5,85.14,B,0.692,0.5828,0.6942,0.6342,0.6533
SouthGermanCredit,completeness,0.75,76.63,B,0.6658,0.4274,0.5057,0.6739,0.6135
SouthGermanCredit,consistent_repr,0.1,96.3,A,0.674,0.7272,0.6459,0.682,0.7289
SouthGermanCredit,consistent_repr,0.25,94.58,A,0.686,0.7169,0.721,0.6827,0.721
SouthGermanCredit,consistent_repr,0.5,91.71,A,0.6667,0.657,0.617,0.6696,0.6572
SouthGermanCredit,consistent_repr,0.75,88.85,B,0.6667,0.6278,0.5291,0.6269,0.5803
SouthGermanCredit,feature_accuracy,0.1,97.54,A,0.6802,0.7086,0.6135,0.6887,0.6887
SouthGermanCredit,feature_accuracy,0.25,97.67,A,0.6245,0.6236,0.5357,0.5946,0.6287
SouthGermanCredit,feature_accuracy,0.5,97.74,A,0.5939,0.5444,0.41,0.4118,0.552
SouthGermanCredit,feature_accuracy,0.75,97.87,A,0.4353,0.4478,0.4065,0.4118,0.4072
SouthGermanCredit,none,0.0,97.45,A,0.6991,0.7235,0.6988,0.674,0.7415
SouthGermanCredit,uniqueness,0.1,90.76,A,0.691,0.7254,0.6799,0.7083,0.759
SouthGermanCredit,uniqueness,0.25,87.41,B,0.6945,0.6732,0.7285,0.6978,0.7433
SouthGermanCredit,uniqueness,0.5,84.08,B,0.69,0.6776,0.6891,0.6766,0.7148
SouthGermanCredit,uniqueness,0.75,82.48,B,0.6945,0.6766,0.6848,0.6608,0.7105
TelcoCustomerChurn,class_balance,0.1,99.48,A,0.7212,0.6425,0.6962,0.7104,0.6972
TelcoCustomerChurn,class_balance,0.25,98.75,A,0.7285,0.6837,0.7161,0.7225,0.697
TelcoCustomerChurn,class_balance,0.5,97.5,A,0.7373,0.6413,0.692,0.7284,0.6873
TelcoCustomerChurn,class_balance,0.75,96.25,A,0.5825,0.6343,0.6266,0.4235,0.6274
TelcoCustomerChurn,completeness,0.1,95.17,A,0.7373,0.6489,0.6947,0.7303,0.7091
TelcoCustomerChurn,completeness,0.25,91.34,A,0.735,0.651,0.7105,0.7344,0.7139
TelcoCustomerChurn,completeness,0.5,84.79,B,0.7213,0.6737,0.7118,0.7268,0.6988
