dataset,task,polluter,level,seed,dsc_score,completeness_text,uniqueness,validity,consistency,outlier_ratio,class_balance,sample_quality_text,feature_correlation,label_consistency,feature_informativeness,target_distribution_quality,target_smoothness,feature_informativeness_reg
ag_news,classification,completeness_text,0.0,42,91.27,1.0,1.0,1.0,0.5908,0.976,0.9213,0.9992,1.0,0.7118,1.0,,,
ag_news,classification,completeness_text,0.1,42,89.59,0.8995,1.0,1.0,0.5908,0.976,0.9213,0.9992,1.0,0.7032,1.0,,,
ag_news,classification,completeness_text,0.25,42,87.18,0.7498,1.0,1.0,0.5908,0.976,0.9213,0.9992,1.0,0.6947,1.0,,,
ag_news,classification,completeness_text,0.5,42,82.65,0.4994,1.0,1.0,0.5908,0.976,0.9213,0.986,1.0,0.6663,1.0,,,
ag_news,classification,completeness_text,0.75,42,72.3,0.2502,1.0,1.0,0.5908,0.976,0.9213,0.7712,1.0,0.4965,1.0,,,
ag_news,classification,completeness_text,0.9,42,62.36,0.1,1.0,1.0,0.5908,0.976,0.9213,0.6268,1.0,0.2206,1.0,,,
ag_news,classification,completeness_text,0.0,7,90.9,1.0,1.0,1.0,0.5185,0.964,0.9213,0.9993,1.0,0.7144,1.0,,,
ag_news,classification,completeness_text,0.1,7,89.35,0.9004,1.0,1.0,0.5185,0.964,0.9213,0.9993,1.0,0.7117,1.0,,,
ag_news,classification,completeness_text,0.25,7,87.03,0.7506,1.0,1.0,0.5185,0.964,0.9213,0.9993,1.0,0.7079,1.0,,,
ag_news,classification,completeness_text,0.5,7,82.79,0.5006,1.0,1.0,0.5185,0.964,0.9213,0.9841,1.0,0.6946,1.0,,,
ag_news,classification,completeness_text,0.75,7,71.58,0.2494,1.0,1.0,0.5185,0.964,0.9213,0.7678,1.0,0.4848,1.0,,,
ag_news,classification,completeness_text,0.9,7,61.56,0.0996,1.0,1.0,0.5185,0.964,0.9213,0.6254,1.0,0.2029,1.0,,,
ag_news,classification,completeness_text,0.0,99,91.15,1.0,1.0,1.0,0.6647,0.986,0.9213,0.9988,1.0,0.685,1.0,,,
ag_news,classification,completeness_text,0.1,99,89.36,0.9001,1.0,1.0,0.6647,0.986,0.9213,0.9988,1.0,0.6706,1.0,,,
ag_news,classification,completeness_text,0.25,99,87.22,0.75,1.0,1.0,0.6647,0.986,0.9213,0.9988,1.0,0.6759,1.0,,,
ag_news,classification,completeness_text,0.5,99,82.78,0.4992,1.0,1.0,0.6647,0.986,0.9213,0.9849,1.0,0.6524,1.0,,,
ag_news,classification,completeness_text,0.75,99,72.48,0.25,1.0,1.0,0.6647,0.986,0.9213,0.7701,1.0,0.4858,1.0,,,
ag_news,classification,completeness_text,0.9,99,62.65,0.0992,1.0,1.0,0.6647,0.986,0.9213,0.6261,1.0,0.2153,1.0,,,
ag_news,classification,noise_injection_text,0.0,42,91.27,1.0,1.0,1.0,0.5908,0.976,0.9213,0.9992,1.0,0.7118,1.0,,,
ag_news,classification,noise_injection_text,0.1,42,88.82,1.0,1.0,1.0,0.5908,0.976,0.9213,0.9992,1.0,0.5891,1.0,,,
ag_news,classification,noise_injection_text,0.25,42,81.99,1.0,1.0,1.0,0.5908,0.976,0.9213,0.9992,1.0,0.2479,1.0,,,
ag_news,classification,noise_injection_text,0.5,42,77.97,1.0,1.0,1.0,0.5908,0.976,0.9213,0.9992,1.0,0.0465,1.0,,,
ag_news,classification,noise_injection_text,0.75,42,78.43,1.0,1.0,1.0,0.6049,0.976,0.9213,0.9992,1.0,0.0663,1.0,,,
ag_news,classification,noise_injection_text,0.9,42,78.47,1.0,1.0,1.0,0.6193,0.976,0.9213,0.9991,1.0,0.0647,1.0,,,
ag_news,classification,noise_injection_text,0.0,7,90.9,1.0,1.0,1.0,0.5185,0.964,0.9213,0.9993,1.0,0.7144,1.0,,,
ag_news,classification,noise_injection_text,0.1,7,89.2,1.0,1.0,1.0,0.5247,0.964,0.9213,0.9993,1.0,0.6279,1.0,,,
ag_news,classification,noise_injection_text,0.25,7,82.77,1.0,1.0,1.0,0.5374,0.958,0.9213,0.9993,1.0,0.3043,1.0,,,
ag_news,classification,noise_injection_text,0.5,7,78.72,1.0,1.0,1.0,0.5503,0.958,0.9213,0.9993,1.0,0.0987,1.0,,,
ag_news,classification,noise_injection_text,0.75,7,78.29,1.0,1.0,1.0,0.5569,0.964,0.9213,0.9992,1.0,0.0742,1.0,,,
ag_news,classification,noise_injection_text,0.9,7,78.31,1.0,1.0,1.0,0.577,0.964,0.9213,0.9991,1.0,0.0704,1.0,,,
ag_news,classification,noise_injection_text,0.0,99,91.15,1.0,1.0,1.0,0.6647,0.986,0.9213,0.9988,1.0,0.685,1.0,,,
ag_news,classification,noise_injection_text,0.1,99,88.29,1.0,1.0,1.0,0.6647,0.988,0.9213,0.9988,1.0,0.5415,1.0,,,
ag_news,classification,noise_injection_text,0.25,99,82.64,1.0,1.0,1.0,0.6647,0.986,0.9213,0.9986,1.0,0.2597,1.0,,,
ag_news,classification,noise_injection_text,0.5,99,79.25,1.0,1.0,1.0,0.6805,0.988,0.9213,0.9987,1.0,0.0857,1.0,,,
ag_news,classification,noise_injection_text,0.75,99,78.32,1.0,1.0,1.0,0.6886,0.988,0.9213,0.9987,1.0,0.0369,1.0,,,
ag_news,classification,noise_injection_text,0.9,99,78.65,1.0,1.0,1.0,0.6886,0.988,0.9213,0.9985,1.0,0.054,1.0,,,
ag_news,classification,word_shuffle,0.0,42,91.27,1.0,1.0,1.0,0.5908,0.976,0.9213,0.9992,1.0,0.7118,1.0,,,
ag_news,classification,word_shuffle,0.1,42,90.96,1.0,1.0,1.0,0.5908,0.976,0.9213,0.9992,1.0,0.6963,1.0,,,
ag_news,classification,word_shuffle,0.25,42,90.82,1.0,1.0,1.0,0.5908,0.976,0.9213,0.9992,1.0,0.6893,1.0,,,
ag_news,classification,word_shuffle,0.5,42,90.84,1.0,1.0,1.0,0.5908,0.976,0.9213,0.9992,1.0,0.6904,1.0,,,
ag_news,classification,word_shuffle,0.75,42,91.06,1.0,1.0,1.0,0.5908,0.976,0.9213,0.9992,1.0,0.7011,1.0,,,
ag_news,classification,word_shuffle,0.9,42,90.89,1.0,1.0,1.0,0.5908,0.976,0.9213,0.9992,1.0,0.6925,1.0,,,
ag_news,classification,word_shuffle,0.0,7,90.9,1.0,1.0,1.0,0.5185,0.964,0.9213,0.9993,1.0,0.7144,1.0,,,
ag_news,classification,word_shuffle,0.1,7,90.65,1.0,1.0,1.0,0.5185,0.964,0.9213,0.9993,1.0,0.7015,1.0,,,
ag_news,classification,word_shuffle,0.25,7,90.96,1.0,1.0,1.0,0.5185,0.964,0.9213,0.9993,1.0,0.717,1.0,,,
ag_news,classification,word_shuffle,0.5,7,90.44,1.0,1.0,1.0,0.5185,0.964,0.9213,0.9993,1.0,0.6914,1.0,,,
ag_news,classification,word_shuffle,0.75,7,90.46,1.0,1.0,1.0,0.5185,0.964,0.9213,0.9993,1.0,0.6925,1.0,,,
ag_news,classification,word_shuffle,0.9,7,90.64,1.0,1.0,1.0,0.5185,0.964,0.9213,0.9993,1.0,0.701,1.0,,,
ag_news,classification,word_shuffle,0.0,99,91.15,1.0,1.0,1.0,0.6647,0.986,0.9213,0.9988,1.0,0.685,1.0,,,
ag_news,classification,word_shuffle,0.1,99,91.16,1.0,1.0,1.0,0.6647,0.986,0.9213,0.9988,1.0,0.6856,1.0,,,
ag_news,classification,word_shuffle,0.25,99,90.87,1.0,1.0,1.0,0.6647,0.986,0.9213,0.9988,1.0,0.6711,1.0,,,
ag_news,classification,word_shuffle,0.5,99,90.98,1.0,1.0,1.0,0.6647,0.986,0.9213,0.9988,1.0,0.6765,1.0,,,
ag_news,classification,word_shuffle,0.75,99,90.54,1.0,1.0,1.0,0.6647,0.986,0.9213,0.9988,1.0,0.6545,1.0,,,
ag_news,classification,word_shuffle,0.9,99,90.56,1.0,1.0,1.0,0.6647,0.986,0.9213,0.9988,1.0,0.6556,1.0,,,
ag_news,classification,class_balance,0.0,42,91.04,1.0,1.0,1.0,0.5569,0.978,1.0,0.999,1.0,0.6691,1.0,,,
ag_news,classification,class_balance,0.1,42,89.96,1.0,1.0,1.0,0.5503,0.972,0.9027,0.9986,1.0,0.6673,1.0,,,
ag_news,classification,class_balance,0.25,42,89.19,1.0,1.0,1.0,0.5247,0.976,0.7531,0.9992,1.0,0.7082,1.0,,,
ag_news,classification,class_balance,0.5,42,87.61,1.0,1.0,1.0,0.6121,0.976,0.5037,0.9986,1.0,0.7324,1.0,,,
ag_news,classification,class_balance,0.75,42,84.39,1.0,1.0,1.0,0.5247,0.976,0.2519,0.9992,1.0,0.7188,1.0,,,
