dataset,polluter,level,method,model,score,task
ag_news,none,0.0,probe,logreg,0.867,classification
ag_news,none,0.0,probe,random_forest,0.8382,classification
ag_news,none,0.0,probe,mlp,0.8468,classification
ag_news,none,0.0,probe,knn,0.8352,classification
ag_news,completeness_text,0.1,probe,logreg,0.8502,classification
ag_news,completeness_text,0.1,probe,random_forest,0.8184,classification
ag_news,completeness_text,0.1,probe,mlp,0.8364,classification
ag_news,completeness_text,0.1,probe,knn,0.8112,classification
ag_news,completeness_text,0.25,probe,logreg,0.8006,classification
ag_news,completeness_text,0.25,probe,random_forest,0.8149,classification
ag_news,completeness_text,0.25,probe,mlp,0.8214,classification
ag_news,completeness_text,0.25,probe,knn,0.8546,classification
ag_news,completeness_text,0.5,probe,logreg,0.6758,classification
ag_news,completeness_text,0.5,probe,random_forest,0.7829,classification
ag_news,completeness_text,0.5,probe,mlp,0.7355,classification
ag_news,completeness_text,0.5,probe,knn,0.8184,classification
ag_news,completeness_text,0.75,probe,logreg,0.2845,classification
ag_news,completeness_text,0.75,probe,random_forest,0.6405,classification
ag_news,completeness_text,0.75,probe,mlp,0.6329,classification
ag_news,completeness_text,0.75,probe,knn,0.7391,classification
ag_news,completeness_text,0.9,probe,logreg,0.3905,classification
ag_news,completeness_text,0.9,probe,random_forest,0.4591,classification
ag_news,completeness_text,0.9,probe,mlp,0.7279,classification
ag_news,completeness_text,0.9,probe,knn,0.54,classification
ag_news,noise_injection_text,0.1,probe,logreg,0.8008,classification
ag_news,noise_injection_text,0.1,probe,random_forest,0.7561,classification
ag_news,noise_injection_text,0.1,probe,mlp,0.7934,classification
ag_news,noise_injection_text,0.1,probe,knn,0.7891,classification
ag_news,noise_injection_text,0.25,probe,logreg,0.5743,classification
ag_news,noise_injection_text,0.25,probe,random_forest,0.6524,classification
ag_news,noise_injection_text,0.25,probe,mlp,0.6423,classification
ag_news,noise_injection_text,0.25,probe,knn,0.7602,classification
ag_news,noise_injection_text,0.5,probe,logreg,0.3919,classification
ag_news,noise_injection_text,0.5,probe,random_forest,0.4211,classification
ag_news,noise_injection_text,0.5,probe,mlp,0.4882,classification
ag_news,noise_injection_text,0.5,probe,knn,0.254,classification
ag_news,noise_injection_text,0.75,probe,logreg,0.2807,classification
ag_news,noise_injection_text,0.75,probe,random_forest,0.2379,classification
ag_news,noise_injection_text,0.75,probe,mlp,0.345,classification
ag_news,noise_injection_text,0.75,probe,knn,0.2708,classification
ag_news,noise_injection_text,0.9,probe,logreg,0.1409,classification
ag_news,noise_injection_text,0.9,probe,random_forest,0.1875,classification
ag_news,noise_injection_text,0.9,probe,mlp,0.3315,classification
ag_news,noise_injection_text,0.9,probe,knn,0.242,classification
ag_news,word_shuffle,0.1,probe,logreg,0.8438,classification
ag_news,word_shuffle,0.1,probe,random_forest,0.8243,classification
ag_news,word_shuffle,0.1,probe,mlp,0.8439,classification
ag_news,word_shuffle,0.1,probe,knn,0.8318,classification
ag_news,word_shuffle,0.25,probe,logreg,0.8004,classification
